,Community Area,Date,ASSAULT_Arrest,BATTERY_Arrest,CRIMINAL DAMAGE_Arrest,THEFT_Arrest,ASSAULT_Count,BATTERY_Count,CRIMINAL DAMAGE_Count,THEFT_Count,ASSAULT_Domestic,BATTERY_Domestic,CRIMINAL DAMAGE_Domestic,THEFT_Domestic
0,1.0,2016-01-31,2,15,2,12,15,60,36,66,3,37,4,2
1,1.0,2016-02-29,1,14,3,12,12,67,27,63,5,31,1,1
2,1.0,2016-03-31,5,21,0,7,27,64,35,53,3,25,2,0
3,1.0,2016-04-30,7,14,2,11,29,71,26,81,4,29,2,0
4,1.0,2016-05-31,7,14,0,13,20,77,32,77,4,32,1,1
5,1.0,2016-06-30,2,11,2,11,16,60,49,87,2,31,5,2
6,1.0,2016-07-31,3,8,1,8,17,54,41,88,3,30,1,7
7,1.0,2016-08-31,5,12,1,5,21,63,33,80,3,32,2,2
8,1.0,2016-09-30,4,4,1,5,18,59,37,84,3,19,0,2
9,1.0,2016-10-31,2,11,2,11,23,63,35,91,4,27,0,2
10,1.0,2016-11-30,4,8,0,7,17,62,33,77,3,36,3,0
11,1.0,2016-12-31,7,14,0,5,19,58,19,66,5,31,1,1
12,1.0,2017-01-31,3,9,2,6,19,47,40,79,6,25,2,1
13,1.0,2017-02-28,5,11,4,4,20,58,38,58,2,32,5,1
14,1.0,2017-03-31,5,10,3,5,27,37,41,94,5,21,4,1
15,1.0,2017-04-30,2,17,2,5,24,64,61,61,3,27,2,1
16,1.0,2017-05-31,2,13,0,11,20,57,41,129,4,32,2,1
17,1.0,2017-06-30,6,15,1,9,21,59,46,113,2,32,3,4
18,1.0,2017-07-31,4,19,5,8,32,70,71,120,9,38,3,1
19,1.0,2017-08-31,2,9,4,13,25,58,69,118,9,22,4,4
20,1.0,2017-09-30,0,16,0,6,21,68,36,127,7,34,0,2
21,1.0,2017-10-31,3,16,3,12,17,64,48,130,3,28,2,1
22,1.0,2017-11-30,5,12,2,10,27,67,49,109,6,42,2,3
23,1.0,2017-12-31,6,9,1,6,15,55,46,75,1,34,1,1
24,1.0,2018-01-31,3,9,0,11,22,50,35,72,3,26,1,4
25,1.0,2018-02-28,6,20,4,8,25,63,35,53,4,29,2,1
26,1.0,2018-03-31,7,8,3,10,29,58,40,80,7,26,2,2
27,1.0,2018-04-30,6,12,1,8,23,51,21,72,7,25,1,3
28,1.0,2018-05-31,2,9,1,16,18,57,45,100,3,23,2,4
29,1.0,2018-06-30,7,10,2,6,27,61,36,96,8,34,0,1
30,1.0,2018-07-31,7,16,2,16,34,83,42,119,6,34,2,1
31,1.0,2018-08-31,4,15,1,11,16,67,51,126,4,35,3,1
32,1.0,2018-09-30,8,13,1,14,25,67,55,95,7,34,3,2
33,1.0,2018-10-31,3,25,2,8,26,78,42,85,8,42,1,3
34,1.0,2018-11-30,4,13,3,8,21,51,36,79,5,26,5,0
35,1.0,2018-12-31,1,11,1,7,20,47,32,100,4,27,2,3
36,1.0,2019-01-31,2,14,0,10,26,59,31,71,6,35,2,1
37,1.0,2019-02-28,2,12,0,9,14,50,30,79,0,25,1,3
38,1.0,2019-03-31,5,15,1,17,27,53,34,80,10,25,1,3
39,1.0,2019-04-30,3,9,3,11,16,53,31,78,3,27,2,4
40,1.0,2019-05-31,7,12,6,14,30,77,76,102,5,30,5,1
41,1.0,2019-06-30,1,7,0,8,21,63,34,110,6,29,2,0
42,1.0,2019-07-31,5,10,2,19,20,65,46,139,3,36,4,3
43,1.0,2019-08-31,6,15,2,10,28,59,54,131,5,28,3,2
44,1.0,2019-09-30,4,11,3,20,21,64,47,128,2,29,4,2
45,1.0,2019-10-31,4,10,3,18,26,66,37,105,3,22,1,7
46,1.0,2019-11-30,4,14,2,10,25,60,16,92,10,34,2,2
47,1.0,2019-12-31,2,17,1,14,22,69,47,113,6,43,5,4
48,1.0,2020-01-31,3,11,1,9,20,41,46,91,7,17,2,4
49,1.0,2020-02-29,2,11,2,10,22,44,31,86,9,21,2,1
50,1.0,2020-03-31,3,13,1,3,17,62,35,59,8,33,5,2
51,1.0,2020-04-30,0,6,0,1,16,28,28,49,6,12,3,4
52,1.0,2020-05-31,1,8,0,2,20,60,39,51,8,28,2,2
53,1.0,2020-06-30,5,7,0,5,27,63,46,62,5,34,2,1
54,1.0,2020-07-31,1,5,1,3,25,68,41,76,11,39,4,5
55,1.0,2020-08-31,0,14,2,4,30,67,46,77,9,30,4,5
56,1.0,2020-09-30,2,8,0,9,17,52,42,72,3,25,4,3
57,1.0,2020-10-31,4,4,1,5,25,49,37,92,7,20,2,3
58,1.0,2020-11-30,3,8,1,6,26,44,30,68,6,23,3,4
59,1.0,2020-12-31,10,7,0,3,29,48,22,65,11,28,1,1
60,1.0,2021-01-31,4,9,1,0,18,48,38,51,2,26,4,3
61,1.0,2021-02-28,0,9,0,1,13,56,18,31,5,31,1,2
62,1.0,2021-03-31,2,13,1,7,17,54,34,64,6,28,4,6
63,1.0,2021-04-30,3,9,3,7,27,49,27,53,6,29,3,3
64,1.0,2021-05-31,2,14,3,8,23,62,41,91,7,25,10,2
65,1.0,2021-06-30,2,14,2,2,31,64,31,84,8,27,2,7
