,zipcode,metro,date,homes_sold,median_sale_price,median_days_on_market,new_listings,active_listings,pending_sales,inventory,average_sale_to_list_ratio,median_new_listing_price,latitude,longitude
0,98001,"Seattle, WA metro area",2016-03-31,101.0,310000.0,34.0,140.0,228.0,163.0,89.0,100.2,349950.0,47.3099,-122.2653
1,98001,"Seattle, WA metro area",2016-04-30,118.0,319450.0,18.0,191.0,274.0,195.0,100.0,100.26,364473.0,47.3099,-122.2653
2,98001,"Seattle, WA metro area",2016-05-31,152.0,339475.0,9.0,232.0,309.0,234.0,102.0,100.59,359950.0,47.3099,-122.2653
3,98001,"Seattle, WA metro area",2016-06-30,174.0,348975.0,8.0,253.0,339.0,252.0,126.0,101.1,350000.0,47.3099,-122.2653
4,98001,"Seattle, WA metro area",2016-07-31,183.0,350000.0,10.0,239.0,332.0,267.0,110.0,101.08,349000.0,47.3099,-122.2653
5,98001,"Seattle, WA metro area",2016-08-31,200.0,348500.0,15.0,235.0,333.0,259.0,119.0,100.45,350000.0,47.3099,-122.2653
6,98001,"Seattle, WA metro area",2016-09-30,193.0,343900.0,17.0,212.0,336.0,230.0,126.0,99.78,350000.0,47.3099,-122.2653
7,98001,"Seattle, WA metro area",2016-10-31,193.0,338000.0,18.0,175.0,283.0,215.0,98.0,99.76,354500.0,47.3099,-122.2653
8,98001,"Seattle, WA metro area",2016-11-30,171.0,338133.0,19.0,127.0,243.0,174.0,78.0,99.76,335000.0,47.3099,-122.2653
9,98001,"Seattle, WA metro area",2016-12-31,158.0,345750.0,23.0,96.0,217.0,147.0,73.0,100.11,324975.0,47.3099,-122.2653
10,98001,"Seattle, WA metro area",2017-01-31,141.0,354950.0,20.0,87.0,179.0,127.0,59.0,100.34,325000.0,47.3099,-122.2653
11,98001,"Seattle, WA metro area",2017-02-28,121.0,354950.0,31.0,105.0,177.0,118.0,65.0,100.89,351000.0,47.3099,-122.2653
12,98001,"Seattle, WA metro area",2017-03-31,124.0,364693.0,30.0,144.0,214.0,160.0,65.0,101.17,405950.0,47.3099,-122.2653
13,98001,"Seattle, WA metro area",2017-04-30,147.0,399900.0,18.0,194.0,253.0,181.0,74.0,101.41,414900.0,47.3099,-122.2653
14,98001,"Seattle, WA metro area",2017-05-31,177.0,402000.0,9.0,222.0,285.0,215.0,72.0,102.2,399950.0,47.3099,-122.2653
15,98001,"Seattle, WA metro area",2017-06-30,186.0,386750.0,8.0,219.0,280.0,197.0,78.0,102.67,385000.0,47.3099,-122.2653
16,98001,"Seattle, WA metro area",2017-07-31,176.0,380000.0,9.0,211.0,282.0,188.0,89.0,102.74,385000.0,47.3099,-122.2653
17,98001,"Seattle, WA metro area",2017-08-31,176.0,363500.0,9.0,232.0,300.0,185.0,115.0,102.27,399950.0,47.3099,-122.2653
18,98001,"Seattle, WA metro area",2017-09-30,175.0,385000.0,12.0,233.0,306.0,200.0,112.0,101.38,389888.0,47.3099,-122.2653
19,98001,"Seattle, WA metro area",2017-10-31,180.0,384975.0,13.0,224.0,308.0,206.0,100.0,101.12,395000.0,47.3099,-122.2653
20,98001,"Seattle, WA metro area",2017-11-30,176.0,394915.0,20.0,174.0,286.0,189.0,87.0,100.29,397450.0,47.3099,-122.2653
21,98001,"Seattle, WA metro area",2017-12-31,172.0,390000.0,26.0,129.0,236.0,162.0,58.0,100.09,429900.0,47.3099,-122.2653
22,98001,"Seattle, WA metro area",2018-01-31,153.0,405000.0,29.0,118.0,213.0,156.0,48.0,99.5,465000.0,47.3099,-122.2653
23,98001,"Seattle, WA metro area",2018-02-28,140.0,420000.0,30.0,116.0,199.0,152.0,40.0,99.69,474265.0,47.3099,-122.2653
24,98001,"Seattle, WA metro area",2018-03-31,137.0,446000.0,13.0,158.0,216.0,170.0,52.0,100.39,446000.0,47.3099,-122.2653
25,98001,"Seattle, WA metro area",2018-04-30,152.0,450000.0,9.0,185.0,229.0,173.0,59.0,101.38,437450.0,47.3099,-122.2653
26,98001,"Seattle, WA metro area",2018-05-31,175.0,427500.0,6.0,223.0,260.0,185.0,76.0,102.64,425000.0,47.3099,-122.2653
27,98001,"Seattle, WA metro area",2018-06-30,175.0,429000.0,7.0,226.0,275.0,181.0,101.0,102.98,422379.0,47.3099,-122.2653
28,98001,"Seattle, WA metro area",2018-07-31,169.0,420000.0,7.0,205.0,262.0,157.0,111.0,102.63,410000.0,47.3099,-122.2653
29,98001,"Seattle, WA metro area",2018-08-31,153.0,416000.0,8.0,200.0,275.0,141.0,141.0,101.72,410000.0,47.3099,-122.2653
30,98001,"Seattle, WA metro area",2018-09-30,135.0,400000.0,11.0,179.0,279.0,127.0,146.0,100.74,425950.0,47.3099,-122.2653
31,98001,"Seattle, WA metro area",2018-10-31,128.0,397500.0,17.0,173.0,282.0,131.0,142.0,100.18,415000.0,47.3099,-122.2653
32,98001,"Seattle, WA metro area",2018-11-30,124.0,416500.0,21.0,130.0,268.0,125.0,113.0,99.63,412500.0,47.3099,-122.2653
33,98001,"Seattle, WA metro area",2018-12-31,122.0,414500.0,26.0,99.0,242.0,122.0,89.0,99.98,389900.0,47.3099,-122.2653
34,98001,"Seattle, WA metro area",2019-01-31,127.0,406000.0,28.0,77.0,214.0,117.0,79.0,99.91,400000.0,47.3099,-122.2653
35,98001,"Seattle, WA metro area",2019-02-28,103.0,400000.0,43.0,75.0,181.0,112.0,73.0,99.81,430000.0,47.3099,-122.2653
36,98001,"Seattle, WA metro area",2019-03-31,127.0,430000.0,40.0,111.0,193.0,131.0,71.0,99.4,470000.0,47.3099,-122.2653
37,98001,"Seattle, WA metro area",2019-04-30,121.0,470475.0,22.0,136.0,207.0,146.0,67.0,99.73,463500.0,47.3099,-122.2653
38,98001,"Seattle, WA metro area",2019-05-31,152.0,470000.0,20.0,186.0,252.0,178.0,86.0,100.03,449975.0,47.3099,-122.2653
39,98001,"Seattle, WA metro area",2019-06-30,155.0,465000.0,12.0,197.0,257.0,202.0,77.0,100.44,415000.0,47.3099,-122.2653
40,98001,"Seattle, WA metro area",2019-07-31,170.0,443800.0,12.0,189.0,250.0,187.0,70.0,100.84,410000.0,47.3099,-122.2653
41,98001,"Seattle, WA metro area",2019-08-31,167.0,423000.0,12.0,172.0,252.0,169.0,90.0,100.88,412500.0,47.3099,-122.2653
