region_id,lookback_start,forecast_start,forecast_end,model_best,model_best_mae,model_best_rmse,model_best_category
98001,2016-03-31,2017-03-31,2018-02-28,d2stgnn,17689.29144512373,21234.046966462196,spatial_temporal
98001,2016-04-30,2017-04-30,2018-03-31,d2stgnn,14178.574938035837,18843.64602413555,spatial_temporal
98001,2016-05-31,2017-05-31,2018-04-30,d2stgnn,12626.096390120665,18193.764652424994,spatial_temporal
98001,2016-06-30,2017-06-30,2018-05-31,d2stgnn,13238.0291184273,17522.637807786556,spatial_temporal
98001,2016-07-31,2017-07-31,2018-06-30,d2stgnn,14580.936507104736,19350.41976566486,spatial_temporal
98001,2016-08-31,2017-08-31,2018-07-31,d2stgnn,13508.906306716346,18515.633320333585,spatial_temporal
98001,2016-09-30,2017-09-30,2018-08-31,d2stgnn,11235.34053296358,15176.100367035715,spatial_temporal
98001,2016-10-31,2017-10-31,2018-09-30,d2stgnn,11043.515807075164,14672.46226209773,spatial_temporal
98001,2016-11-30,2017-11-30,2018-10-31,d2stgnn,13511.17211855831,18202.233594172114,spatial_temporal
98001,2016-12-31,2017-12-31,2018-11-30,d2stgnn,12852.062883933128,17278.53885040934,spatial_temporal
98001,2017-01-31,2018-01-31,2018-12-31,d2stgnn,14391.996011311581,17861.887297374968,spatial_temporal
98001,2017-02-28,2018-02-28,2019-01-31,timemixer,13739.643057775602,17236.96891187849,DL
98001,2017-03-31,2018-03-31,2019-02-28,chronos2_zero,14533.223954152738,17385.238790837295,foundation
98001,2017-04-30,2018-04-30,2019-03-31,itransformer,10710.660754758379,12738.629987200502,DL
98001,2017-05-31,2018-05-31,2019-04-30,itransformer,11198.556499588774,14592.834887733732,DL
98001,2017-06-30,2018-06-30,2019-05-31,itransformer,14046.092220176157,19898.827815861583,DL
98001,2017-07-31,2018-07-31,2019-06-30,stgformer,14299.797395287469,19053.427968334345,spatial_temporal
98001,2017-08-31,2018-08-31,2019-07-31,graph_wavenet,15466.92326961854,20040.997039346643,spatial_temporal
98001,2017-09-30,2018-09-30,2019-08-31,stgcn,17135.884252534597,22468.06404704313,spatial_temporal
98001,2017-10-31,2018-10-31,2019-09-30,stgformer,18605.741524013658,23089.30372826497,spatial_temporal
98001,2017-11-30,2018-11-30,2019-10-31,patchtst,18546.783117617157,21390.493707182894,DL
98001,2017-12-31,2018-12-31,2019-11-30,patchtst,16926.448190007886,20170.41158398124,DL
98001,2018-01-31,2019-01-31,2019-12-31,itransformer,18270.25061918727,23311.867772563623,DL
98001,2018-02-28,2019-02-28,2020-01-31,d2stgnn,20158.47169632191,23183.738951136595,spatial_temporal
98001,2018-03-31,2019-03-31,2020-02-29,d2stgnn,18732.394968720804,23105.81285969442,spatial_temporal
98001,2018-04-30,2019-04-30,2020-03-31,d2stgnn,16282.68454637737,19327.347705607994,spatial_temporal
98001,2018-05-31,2019-05-31,2020-04-30,itransformer,13358.69740386203,16320.914435056731,DL
98001,2018-06-30,2019-06-30,2020-05-31,dcrnn,12860.863584915447,14776.759779201193,spatial_temporal
98001,2018-07-31,2019-07-31,2020-06-30,dcrnn,11568.96481305143,13513.707495475352,spatial_temporal
98001,2018-08-31,2019-08-31,2020-07-31,graph_wavenet,10381.963600300374,13045.655178578761,spatial_temporal
98001,2018-09-30,2019-09-30,2020-08-31,itransformer,11004.792600123008,13047.442779808205,DL
98001,2018-10-31,2019-10-31,2020-09-30,patchtst,10823.619135624258,13005.641255367382,DL
98001,2018-11-30,2019-11-30,2020-10-31,patchtst,11849.798329365925,14368.724072290832,DL
98001,2018-12-31,2019-12-31,2020-11-30,timemixer,11895.472626107008,14842.574942045861,DL
98001,2019-01-31,2020-01-31,2020-12-31,stgformer,10291.064276682911,12233.23086812494,spatial_temporal
98001,2019-02-28,2020-02-29,2021-01-31,stgformer,9042.195096794574,11461.728929981313,spatial_temporal
98001,2019-03-31,2020-03-31,2021-02-28,stgformer,13753.35705661466,15479.886553769136,spatial_temporal
98001,2019-04-30,2020-04-30,2021-03-31,dlinear,18377.280573633845,23924.371455059776,DL
98001,2019-05-31,2020-05-31,2021-04-30,d2stgnn,24538.864926230322,27569.722787768435,spatial_temporal
98001,2019-06-30,2020-06-30,2021-05-31,d2stgnn,24808.674540557415,28978.377122487676,spatial_temporal
