,w12_h12,w12_h12,w12_h12,w12_h12,w12_h6,w12_h6,w12_h6,w12_h6
,rmse,mae,log_rmse,mape,rmse,mae,log_rmse,mape
model,,,,,,,,
xgb,60600.42020675952,29974.674784356142,0.06354182134585673,0.040469008508659934,,,,
dlinear,37977.74004105919,24831.75752712501,0.05311421462377845,0.040600355084030204,31568.205359002353,20274.66884226217,0.0439676018677269,0.03329456769654054
patchtst,66315.86616556613,38264.54481023123,0.07740557709694544,0.05600658137410619,60802.448720898494,34946.18813494843,0.06978435100356657,0.050102464805208
itransformer,37310.35400703064,23416.03841949353,0.0481301739740198,0.03733291655669443,21613.863500787673,13618.647311001265,0.029135803787335764,0.02195017934661916
timemixer,59689.189861343875,34292.31041032307,0.06860696701090266,0.04966934631925726,54504.307978082456,29741.857467573584,0.06110521955032647,0.04324684497324621
chronos2_ft,34626.75944749273,21655.86573645385,0.04950757063621644,0.034978446605509646,19515.10471106258,11217.46019900289,0.02716339953499942,0.018073565027303992
timesfm_ft,32122.179941117236,19988.133680378633,0.04648769429747205,0.03278099970364086,20065.197586546023,11944.985224736145,0.02821943024458646,0.019372343065375
timellm,43384.988673373235,29646.28700696363,0.0573360397913133,0.0482674625488401,47163.38292580659,33283.58085142034,0.06414870419985531,0.05464870722513473
gpt4ts,39433.26932407507,26927.01239440418,0.05195356598681144,0.0435648855544328,25951.23726266848,16792.760794248585,0.035602449238833975,0.027419912838076103
gcn_tcn,205734.79863095842,157197.29958111697,0.33262367083225225,0.2969790530909434,203207.35286438614,160828.17939757695,0.3386750975439865,0.3157986105953065
stgcn,86822.57952723347,44561.08676289136,0.09635185654591172,0.05963759251096004,66998.71651129152,35561.775413455805,0.0734836462753627,0.04936303547882912
graph_wavenet,39119.206287629444,23308.00817881516,0.046431028743292704,0.03449110074852756,33481.5753963491,20798.97119656961,0.041610183086687985,0.03234792169478414
stsgcn,259484.00491352903,217838.08330925615,0.41931131743491346,0.44440841566712613,233251.92829390513,194182.53929137398,0.38843848381259644,0.39381454243067004
stllm_plus,54166.36894117452,35889.2255547051,0.0712997086980673,0.058201447622449866,37748.084742269675,23271.914597337,0.050872992348724645,0.03806692727506697
